Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
run10001,96.06,58.45,40.47,U=0.6 g=23%,screen,0.1802,915.1,2060 Warm,run10001,7.295,1.842,52867,72165.1,12129,222138.7,33742.1,606721.8
run10002,62.9,55.99,40.38,U=0.3 g=20%,none,0.1173,446.5,2060 Warm,run10002,7.353,1.741,48562.9,80404.4,13111.2,231395,34713.4,566754.3
run10003,46.53,8.891,97.05,U=0.3 g=20%,screen,0.1345,1254.9,2060,run10003,7.481,1.324,29528,78629.7,17556.9,225751.1,33851.1,503133.1
run10004,47.71,30.5,11.63,U=0.6 g=23%,roller,0.1195,2323.8,2060,run10004,7.451,0.7744,29644.7,75068.1,17596.6,221534.7,33392.8,525774.6
run10005,54.79,99.38,34.57,U=1.1 g=34%,screen,0.1342,2205.4,2060,run10005,7.462,2.082,45944.8,86879.7,11366.9,234535.8,34737.5,631540.8
run10006,88.08,44.42,86.96,U=0.6 g=23%,roller,0.142,2964.4,2060,run10006,7.42,2.136,38481.6,83718.4,12692.8,228585.6,33935.6,597242.1
run10007,5.741,37.31,28.3,U=0.6 g=18%,screen,0.1923,2541.1,2000,run10007,7.479,0.6614,21827.8,65250.7,19441.1,208121.2,31809,481622.4
run10008,2.684,43.63,70.18,U=0.6 g=23%,screen,0.1274,2081.4,2000,run10008,7.625,1.207,22878.6,87811.4,16141.5,230381.3,33916.9,515990.5
run10009,56.52,14.74,8.624,U=0.6 g=23%,roller,0.171,1618.9,2000,run10009,7.465,0.5629,22004.6,63996.8,20029,207755.6,31847.8,476361.4
run10010,96.81,32.37,79.02,U=0.7 g=42%,screen,0.1793,1238.8,2060 Warm,run10010,7.313,1.643,48130,72412.6,12932,221047.3,33526.4,579620.5
run10011,92.87,33.8,71.14,U=0.6 g=18%,none,0.1972,1368.8,2000,run10011,7.441,1.668,28021.2,77672.9,13200.8,215783.5,32147.7,556352.1
run10012,26.32,59.87,63.45,U=0.3 g=20%,roller,0.1993,1477,2060 Warm,run10012,7.328,1.601,46789.2,69271.7,13492.1,217409.9,33136.7,569249
run10013,80.92,28.35,78.15,U=1.1 g=34%,roller,0.1894,785.3,2060,run10013,7.345,1.506,34946.2,71722,14107.8,214349.3,32385.6,549286.9
